iter	Passed	Remaining
0	1	160
1	2	144
2	4	135
3	5	131
4	7	133
5	8	128
6	9	125
7	10	123
8	11	121
9	13	118
10	14	117
11	15	116
12	17	117
13	18	116
14	20	114
15	21	112
16	22	111
17	24	110
18	25	109
19	26	107
20	28	105
21	29	104
22	30	102
23	31	101
24	33	100
25	34	98
26	35	96
27	36	95
28	38	93
29	39	91
30	40	90
31	41	89
32	43	87
33	44	85
34	45	84
35	46	82
36	47	81
37	49	80
38	50	78
39	51	77
40	52	75
41	53	73
42	54	72
43	55	70
44	56	69
45	58	68
46	59	66
47	60	65
48	61	64
49	63	63
50	64	61
51	65	60
52	66	59
53	67	57
54	68	56
55	69	54
56	71	53
57	72	52
58	73	51
59	74	49
60	76	48
61	77	47
62	78	46
63	79	44
64	80	43
65	82	42
66	83	41
67	84	39
68	85	38
69	86	37
70	88	35
71	89	34
72	90	33
73	91	32
74	92	30
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	101	22
82	102	20
83	103	19
84	104	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	112	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	119	3
97	120	2
98	121	1
99	122	0
