iter	Passed	Remaining
0	10	10829
1	11	5766
2	12	4031
3	12	3172
4	13	2663
5	14	2351
6	14	2111
7	15	1919
8	16	1769
9	16	1652
10	17	1553
11	17	1481
12	18	1417
13	19	1385
14	20	1336
15	20	1287
16	21	1244
17	22	1204
18	22	1169
19	23	1139
20	23	1109
21	24	1085
22	25	1064
23	25	1042
24	26	1020
25	26	1001
26	27	983
27	27	968
28	28	959
29	29	945
30	29	933
31	30	919
32	30	907
33	31	895
34	32	892
35	33	886
36	34	892
37	35	890
38	35	883
39	36	875
40	37	866
41	37	859
42	38	851
43	38	843
44	39	835
45	39	828
46	40	821
47	41	814
48	41	809
49	42	802
50	43	802
51	43	796
52	44	791
53	44	786
54	45	781
55	46	776
56	46	771
57	47	768
58	47	763
59	48	766
60	49	763
61	50	765
62	51	762
63	51	758
64	52	755
65	53	750
66	53	746
67	54	743
68	54	739
69	55	735
70	55	731
71	56	728
72	57	727
73	57	724
74	58	720
75	59	717
76	59	714
77	60	711
78	60	707
79	61	704
80	61	701
81	62	698
82	62	692
83	63	690
84	64	697
85	65	698
86	66	697
87	67	695
88	67	693
89	68	691
90	69	689
91	69	687
92	70	684
93	70	682
94	71	680
95	72	678
96	72	675
97	73	672
98	73	670
99	74	668
100	74	665
101	75	663
102	75	661
103	76	659
104	77	657
105	77	655
106	78	654
107	79	656
108	80	657
109	81	656
110	81	656
111	82	657
112	83	657
113	84	656
114	85	655
115	85	653
116	86	650
117	86	648
118	87	646
119	87	644
120	88	642
121	88	640
122	89	637
123	90	635
124	90	633
125	91	631
126	91	629
127	92	627
128	93	628
129	94	631
130	95	632
131	96	631
132	96	629
133	97	627
134	97	626
135	98	625
136	98	623
137	99	621
138	100	619
139	100	617
140	101	616
141	101	613
142	102	611
143	102	610
144	103	608
145	103	606
146	104	605
147	104	604
148	105	602
149	106	601
150	106	600
151	107	599
152	108	597
153	109	600
154	110	601
155	111	601
156	111	600
157	112	598
158	112	597
159	113	596
160	113	593
161	114	592
162	115	591
163	115	589
164	116	588
165	116	587
166	117	585
167	117	584
168	118	582
169	119	581
170	119	579
171	120	578
172	120	577
173	121	576
174	122	575
175	122	575
176	123	575
177	124	576
178	125	575
179	126	574
180	126	573
181	127	572
182	127	571
183	128	570
184	129	569
185	129	567
186	130	567
187	131	565
188	132	566
189	132	565
190	133	564
191	134	564
192	134	563
193	135	563
194	136	563
195	137	562
196	137	561
197	139	563
198	140	566
199	141	565
200	142	565
201	142	564
202	143	563
203	144	562
204	145	562
205	145	562
206	146	561
207	147	560
208	147	559
209	148	558
210	149	559
211	150	558
212	151	557
213	151	557
214	153	561
215	155	564
216	156	564
217	157	563
218	157	563
219	159	567
220	160	566
221	161	565
222	162	564
223	162	563
224	163	563
225	164	562
226	164	561
227	165	560
228	166	559
229	166	558
230	167	558
231	169	561
232	170	561
233	174	572
234	176	574
235	178	579
236	179	578
237	180	577
238	181	576
239	181	575
240	182	575
241	185	581
242	188	587
243	189	587
244	190	587
245	191	586
246	191	585
247	192	583
248	193	582
249	193	581
250	194	580
251	195	579
252	197	583
253	198	582
254	202	590
255	203	591
256	204	591
257	205	591
258	206	590
259	207	590
260	208	589
261	208	587
262	209	586
263	210	585
264	211	585
265	212	585
266	212	584
267	213	583
268	214	583
269	215	582
270	216	582
271	217	581
272	217	580
273	218	579
274	219	578
275	219	577
276	220	575
277	221	574
278	221	573
279	222	572
280	223	571
281	224	570
282	224	569
283	225	567
284	225	566
285	226	566
286	227	565
287	228	564
288	229	565
289	230	565
290	231	564
291	232	563
292	233	562
293	233	560
294	234	559
295	234	558
296	235	556
297	235	555
298	236	554
299	236	552
300	237	551
301	238	550
302	238	548
303	239	547
304	239	546
305	240	545
306	241	544
307	241	542
308	242	541
309	242	540
310	243	538
311	243	537
312	244	536
313	245	536
314	246	536
315	247	535
316	247	533
317	248	532
318	248	531
319	249	530
320	250	528
321	250	527
322	251	526
323	251	525
324	252	523
325	252	522
326	253	521
327	254	520
328	254	519
329	255	518
330	255	517
331	256	516
332	257	514
333	257	513
334	258	512
335	258	511
336	259	511
337	260	509
338	260	508
339	261	507
340	262	506
341	263	506
342	264	505
343	264	504
344	265	503
345	265	502
346	266	501
347	267	500
348	267	499
349	268	497
350	268	496
351	269	495
352	269	494
353	270	493
354	271	492
355	271	491
356	272	490
357	272	489
358	273	488
359	273	486
360	274	486
361	275	485
362	276	485
363	277	484
364	277	483
365	278	482
366	279	481
367	279	480
368	280	479
369	280	478
370	281	477
371	282	476
372	282	475
373	283	474
374	283	473
375	284	472
376	285	471
377	286	470
378	286	469
379	287	468
380	287	467
381	288	466
382	289	465
383	290	465
384	290	464
385	291	463
386	292	462
387	292	461
388	293	460
389	293	459
390	294	458
391	295	457
392	295	456
393	296	455
394	296	454
395	297	454
396	298	452
397	298	452
398	299	451
399	300	451
400	301	450
401	302	450
402	303	449
403	306	452
404	307	452
405	308	451
406	309	450
407	310	449
408	310	449
409	311	448
410	312	447
411	312	446
412	313	445
413	313	444
414	314	443
415	314	442
416	315	441
417	316	440
418	316	439
419	317	438
420	317	437
421	318	435
422	318	434
423	319	433
424	320	434
425	322	434
426	323	434
427	324	433
428	324	432
429	325	431
430	326	430
431	326	429
432	327	428
433	327	427
434	328	426
435	329	425
436	329	424
437	330	424
438	331	423
439	331	422
440	332	421
441	332	420
442	333	419
443	333	418
444	334	417
445	335	416
446	336	416
447	337	415
448	337	414
449	338	413
450	339	412
451	339	411
452	340	410
453	340	409
454	341	408
455	341	407
456	342	406
457	342	405
458	343	404
459	344	403
460	344	402
461	345	401
462	345	400
463	346	399
464	346	398
465	347	398
466	347	397
467	348	396
468	349	395
469	349	394
470	350	393
471	351	392
472	352	392
473	352	391
474	353	390
475	354	389
476	354	388
477	355	387
478	355	386
479	356	385
480	356	384
481	357	384
482	357	383
483	358	382
484	359	381
485	359	380
486	360	379
487	360	378
488	361	377
489	361	376
490	362	375
491	362	374
492	363	373
493	364	372
494	364	371
495	365	371
496	366	370
497	367	370
498	367	369
499	368	368
500	369	367
501	370	367
502	370	366
503	371	365
504	371	364
505	372	363
506	373	362
507	373	361
508	374	360
509	374	359
510	375	359
511	375	358
512	376	357
513	377	356
514	377	355
515	378	354
516	378	353
517	379	352
518	379	352
519	380	351
520	381	351
521	382	350
522	383	349
523	383	348
524	384	347
525	384	346
526	385	345
527	386	345
528	386	344
529	387	343
530	387	342
531	388	341
532	388	340
533	389	339
534	389	338
535	390	337
536	391	337
537	391	336
538	392	335
539	392	334
540	393	333
541	393	332
542	394	332
543	395	331
544	396	330
545	397	330
546	398	329
547	398	328
548	399	328
549	399	327
550	400	326
551	401	325
552	401	324
553	402	323
554	402	322
555	403	322
556	404	321
557	404	320
558	405	319
559	405	318
560	406	317
561	406	317
562	407	316
563	407	315
564	408	314
565	409	313
566	409	312
567	410	311
568	411	311
569	412	310
570	413	310
571	413	309
572	414	308
573	414	307
574	415	307
575	416	306
576	416	305
577	417	304
578	417	303
579	418	302
580	419	302
581	420	301
582	420	300
583	421	300
584	421	299
585	422	298
586	423	297
587	423	296
588	424	295
589	424	295
590	425	294
591	425	293
592	426	292
593	427	292
594	428	291
595	429	291
596	429	290
597	430	289
598	431	288
599	431	287
600	432	287
601	433	286
602	433	285
603	434	284
604	434	283
605	435	282
606	435	282
607	436	281
608	436	280
609	437	279
610	438	279
611	438	278
612	439	277
613	440	276
614	440	275
615	441	275
616	442	274
617	443	273
618	443	273
619	444	272
620	445	271
621	446	271
622	446	270
623	447	269
624	447	268
625	448	267
626	448	267
627	449	266
628	449	265
629	450	264
630	451	263
631	451	262
632	452	262
633	452	261
634	453	260
635	454	259
636	454	259
637	455	258
638	455	257
639	456	256
640	457	256
641	458	255
642	458	254
643	459	254
644	460	253
645	461	252
646	461	252
647	462	251
648	463	250
649	463	249
650	464	248
651	464	248
652	465	247
653	465	246
654	466	245
655	466	244
656	467	244
657	468	243
658	469	242
659	469	241
660	470	241
661	470	240
662	471	239
663	472	239
664	473	238
665	474	237
666	474	237
